priority	topic	content_kind	bytes	absolute_path	rationale	extraction_method	target_wiki_page	risk_note
P1	subsea-production-systems-overview	presentation	16923787	/mnt/ace/doris/training/1.00 - Subsea Production Systems - General Overview/Subsea Production Systems - Part 1, Introduction (V1.2).pptx	Canonical Module 1.00 deck — entry point of the whole curriculum, latest version V1.2	libreoffice headless --convert-to pdf then pdftotext per slide; extract speaker notes via python-pptx	wiki/sources/doris-university-module-1-00-subsea-production-systems-overview.md + wiki/concepts/subsea-production-system-overview.md	Likely embedded vendor figures; extract text+notes only, leave figures metadata-only
P1	subsea-production-control-systems-part1	presentation	6216793	/mnt/ace/doris/training/1.01 - Subsea Production Control Systems - System Overview and Major Components/Subsea Production Control Systems - Part 1, System Overview (V1).pptx	Canonical Module 1.01 Part 1 — system-level overview of production control systems	libreoffice + python-pptx as above	wiki/sources/doris-university-module-1-01-production-control-systems.md + wiki/concepts/subsea-production-control-system.md	None internal-only
P1	subsea-production-control-systems-part2	presentation	10168943	/mnt/ace/doris/training/1.01 - Subsea Production Control Systems - System Overview and Major Components/Subsea Production Control Systems - Part 2, Major Component Overview (V1).pptx	Canonical Module 1.01 Part 2 — major component drilldown; pairs with Part 1	libreoffice + python-pptx as above	(same source page) + wiki/concepts/subsea-production-control-system.md (extend)	A (Clean) variant exists at sibling path; verify byte/sha equivalence before treating as duplicate
P1	subsea-umbilical-systems-part1	presentation	10763268	/mnt/ace/doris/training/1.02 - Subsea Umbilical Systems - System Overview and Major Components/Subsea Umbilical Systems - Part 1, System Overview (V1.3).pptx	Canonical Module 1.02 Part 1 — umbilical system overview, latest V1.3	libreoffice + python-pptx as above	wiki/sources/doris-university-module-1-02-umbilical-systems.md + wiki/concepts/subsea-umbilical-system.md	None internal-only
P1	subsea-umbilical-systems-part2	presentation	7323034	/mnt/ace/doris/training/1.02 - Subsea Umbilical Systems - System Overview and Major Components/Subsea Umbilical Systems - Part 2, Major Component Overview (V1.3).pptx	Canonical Module 1.02 Part 2 — umbilical major components, latest V1.3	libreoffice + python-pptx as above	(same source page) + wiki/concepts/subsea-umbilical-system.md (extend)	None internal-only
P1	subsea-umbilical-systems-part3	presentation	8368877	/mnt/ace/doris/training/1.02 - Subsea Umbilical Systems - System Overview and Major Components/Subsea Umbilical Systems - Part 3, Delivery Overview (V1.3).pptx	Canonical Module 1.02 Part 3 — delivery/installation overview, latest V1.3	libreoffice + python-pptx as above	(same source page) + wiki/concepts/subsea-umbilical-system.md (extend)	None internal-only
P1	installation-workover-control-part1	presentation	8238216	/mnt/ace/doris/training/1.03 - Installation and Workover Control Systems - System and Major Component Overview/Installation and Workover Control Systems - Part 1, System Overview (V1.3).pptx	Canonical Module 1.03 Part 1 — IWOCS overview, latest V1.3	libreoffice + python-pptx as above	wiki/sources/doris-university-module-1-03-installation-workover-control.md + wiki/concepts/installation-workover-control-system.md	None internal-only
P1	installation-workover-control-part2	presentation	9855387	/mnt/ace/doris/training/1.03 - Installation and Workover Control Systems - System and Major Component Overview/Installation and Workover Control Systems - Part 2, Major Component Overview (V1.2).pptx	Canonical Module 1.03 Part 2 — IWOCS major components, latest V1.2	libreoffice + python-pptx as above	(same source page) + wiki/concepts/installation-workover-control-system.md (extend)	None internal-only
P2	methanol-injection-analysis	tabular	945664	/mnt/ace/doris/training/1.01 - Subsea Production Control Systems - System Overview and Major Components/Embedded Charts/Methanol Analysis.xls	Doris-authored calc methodology — methanol injection analysis spreadsheet	openpyxl/xlrd structured extract; preserve formulas; emit Citation if standards-derived constant present	wiki/concepts/methanol-injection-analysis.md	If formulas reference an API/ISO constant the wiki/standards/<code-id>.md page must exist first per calc-citation contract; create it before emitting concept page
P2	umbilical-tube-sizing-api-17e	pdf	70282	/mnt/ace/doris/training/1.02 - Subsea Umbilical Systems - System Overview and Major Components/Embedded Charts/Umbilical Tube Size Calculation per API 17E, Simplified (V0).pdf	Doris-authored simplification of API 17E tube sizing — flagship calc-citation candidate	pdftotext text-layer extract; if missing fallback to OCR	wiki/concepts/umbilical-tube-sizing-api-17e.md	REQUIRES wiki/standards/api-17e.md to exist with #2471 frontmatter (code_id=api-17e, publisher=API, revision=2011-or-later) BEFORE concept page is emitted; fail-closed per #2481 D2
P2	hydrostatic-pressure-depth	tabular	16426	/mnt/ace/doris/training/1.02 - Subsea Umbilical Systems - System Overview and Major Components/Embedded Charts/Hydrostatic Pressure.xlsx	Doris-authored hydrostatic pressure-depth conversion table; foundational calc	openpyxl structured extract; preserve formulas; cite seawater density constants	wiki/concepts/hydrostatic-pressure-depth.md	Constants like seawater density may be convention-only (not standards-derived); cite if traceable to API/ISO else mark internal convention
P2	subsea-accumulator-sizing	pdf	425126	/mnt/ace/doris/training/1.03 - Installation and Workover Control Systems - System and Major Component Overview/Embedded Charts/Subsea Accumulator Sizing, Simplified (V1.0).pdf	Doris-authored accumulator volume sizing methodology	pdftotext text-layer extract; OCR fallback	wiki/concepts/subsea-accumulator-sizing.md	Likely cites API 17G or API 16D; if so requires standards page with #2471 frontmatter before emit
P3	control-systems-lunch-and-learn-part1	pdf	526561	/mnt/ace/doris/training/ADMIN-FORM-02 - Control Systems Lunch and Learn, Part 1.pdf	Doris-authored bite-sized teaching distillation of control systems content	pdftotext text-layer extract; OCR fallback	wiki/sources/doris-university-lunch-and-learn-control-systems.md (Part 1 section)	None internal-only
P3	control-systems-lunch-and-learn-part2	pdf	519289	/mnt/ace/doris/training/ADMIN-FORM-02 - Control Systems Lunch and Learn, Part 2.pdf	Doris-authored Lunch and Learn Part 2 — pairs with Part 1	pdftotext text-layer extract; OCR fallback	wiki/sources/doris-university-lunch-and-learn-control-systems.md (Part 2 section)	None internal-only
P3	umbilical-systems-lunch-and-learn-part1-2018	pdf	520723	/mnt/ace/doris/training/ADMIN-FORM-02 - Umbilical Systems Lunch and Learn, Part 1 (2018).pdf	Doris-authored 2018 Lunch and Learn — umbilical systems Part 1	pdftotext text-layer extract; OCR fallback	wiki/sources/doris-university-lunch-and-learn-umbilical-systems.md (Part 1 section)	None internal-only
P3	umbilical-systems-lunch-and-learn-part2-2018	pdf	519197	/mnt/ace/doris/training/ADMIN-FORM-02 - Umbilical Systems Lunch and Learn, Part 2 (2018).pdf	Doris-authored 2018 Lunch and Learn — umbilical systems Part 2	pdftotext text-layer extract; OCR fallback	wiki/sources/doris-university-lunch-and-learn-umbilical-systems.md (Part 2 section)	None internal-only
P3	umbilical-systems-lunch-and-learn-part3-2018	pdf	519230	/mnt/ace/doris/training/ADMIN-FORM-02 - Umbilical Systems Lunch and Learn, Part 3 (2018).pdf	Doris-authored 2018 Lunch and Learn — umbilical systems Part 3	pdftotext text-layer extract; OCR fallback	wiki/sources/doris-university-lunch-and-learn-umbilical-systems.md (Part 3 section)	"Part 3 Rescheduled" sibling at root path (513201 bytes) is treated as superseded delivery; do NOT also extract
P4	doris-university-syllabus-snapshot	document	48640	/mnt/ace/doris/training/Superceeded/Doris U Syllabus rev PR.doc	Curriculum index/syllabus — taxonomy validation seed; confirms Module 1.04+ existence claim	libreoffice headless --convert-to pdf then pdftotext	wiki/sources/doris-university-syllabus-snapshot.md	Source folder is misspelled "Superceeded" verbatim; preserve the path; older xls syllabi exist but this doc is the latest revision named
